001,"KCU KANTOR PUSAT OPS. Jln. Asemka 27-30 Jakarta 021-6901771 (hunting)","","","2013-04-25",""
002,"KCU PASAR BARU Jln. KH Samanhudi 8 Jakarta 021-2310411 (hunting)","","","2013-04-25",""
003,"KCU GUNSA 45 Jln. Gunung Sahari 45 Jakarta 021-6012123 (hunting), 6012129-30","","","2013-04-25",""
004,"KCP Regional Tanah Abang Pasar Regional Tanah Abang Blok F, Lt. Dasar Jakarta 021-2303070, 338138","","","2013-04-25",""
005,"KCU WISMA MILLENIA Jalan M.T. Haryono Kav. 16 Jakarta 0","","","2013-04-25",""
006,"KCU WISMA GKBI Jln. Jend. Sudirman 28, Suite G 01 Jakarta 021-5722810 (hunting)","","","2013-04-25",""
007,"KCU TANJUNG PRIOK Jln. Enggano 22-23 Jakarta 021-4301312 (hunting)","","","2013-04-25",""
008,"KCU BANDUNG Jln. Asia Afrika 122-124 Bandung 022-4236303 (hunting)","","","2013-04-25",""
009,"KCU SEMARANG Jln. Pemuda 90-92 Semarang 024-3510575(hunting) 3548003(hunti","","","2013-04-25",""
010,"KCU VETERAN Jln. Veteran 18-24 Surabaya 031-3531136 (hunting)","","","2013-04-25",""
012,"KCU GAJAH MADA Jln. Gajah Mada 112 B-C-D Jakarta 021-6302111 (hunting)","","","2013-04-25",""
013,"KCU SALATIGA Jln. Diponegoro 15 Salatiga 0298-326060-61","","","2013-04-25",""
014,"KCP Tunjungan Jln. Tunjungan 51 Atas Surabaya 031-5322901-03, 5319443, 5478901,","","","2013-04-25",""
015,"KCU SOLO Jln. Brigjen Slamet Riyadi 3 Solo 0271-642225 (hunting)","","","2013-04-25",""
016,"KCP Pasir Kaliki Jln. Pasir Kaliki No.66 Bandung 0","","","2013-04-25",""
017,"KCP Kanjengan Jln. Kanjengan Blok A 24-25 Semarang 024-3548535, 3544564","","","2013-04-25",""
020,"KCU BANDAR LAMPUNG Jln. Yos Sudarso 100 Bandar Lampung 0721-486205 (hunting)","","","2013-04-25",""
021,"KCU PALEMBANG Jln. Kapten Rivai 22 Palembang 0711-312244 (hunting)","","","2013-04-25",""
022,"KCU MEDAN Jln. Diponegoro 15 Medan 061-4155800 (hunting), 414880","","","2013-04-25",""
023,"KCP Tanjung Karang Jln. Raden Intan No. 38 Bandar Lampung 0721-262379, 253749","","","2013-04-25",""
026,"KCU MANADO Jln. Sam Ratulangi 17-19 Manado 0431-868438-43","","","2013-04-25",""
027,"KCU SAMARINDA Jln. Jend. Sudirman 30 Samarinda 0541-738900 (hunting","","","2013-04-25",""
028,"KCU WAHID HASYIM Jln. KH. Wahid Hasyim No. 183 A-B Jakarta 021-3150556, 324456 (hunting)","","","2013-04-25",""
029,"KCU PONTIANAK Jln. A. Yani No. 1 Pontianak 0561-736305 (hunting)","","","2013-04-25",""
031,"KCU KUDUS Jln. A Yani 91 Kudus 0291-432741-432744 (hunting","","","2013-04-25",""
032,"KCU PADANG Jln. H. Agus Salim 10 A Padang 0751-32110-14","","","2013-04-25",""
034,"KCU PEKANBARU Jln. Jend. Sudirman 448 Pekanbaru 0","","","2013-04-25",""
035,"KCU SUDIRMAN Gedung Chase Plaza, Jln. Jend. Sudirman Kav. 21 Jakarta 021-25989898","","","2013-04-25",""
036,"KCP Slompretan Jln. Slompretan 43 Surabaya 031-3534241, 3550728","","","2013-04-25",""
037,"KCU YOGYAKARTA Jln. Jend. Sudirman 49-51 Yogyakarta 0274-517281 (hunting)","","","2013-04-25",""
040,"KCU DENPASAR Jln. Hasanudin 58 Denpasar 0361-420186,421431,431012-14,434089","","","2013-04-25",""
041,"KCU PANGKAL PINANG Jln. Masjid Jamik 15 Pangkal Pinang 0717-432122, 432139, 432144, 432160","","","2013-04-25",""
042,"KCU TEBING TINGGI Jln. Jend.Sudirman 225-227-229 Tebing Tinggi 0621-21242 (hunting)","","","2013-04-25",""
043,"KCU BANDA ACEH Jln. Panglima Polim 40 Banda Aceh 0","","","2013-04-25",""
044,"KCU AMBON Jln. Sultan Hairun 24 Ambon 0911-352425-28","","","2013-04-25",""
045,"KCP Mesjid Lama Jln. Mesjid Lama 27-31 Palembang 0711-360300 (hunting),357789","","","2013-04-25",""
046,"KCU PURWOKERTO Jln. Jend. Sudirman 391 A Purwokerto 0281-632111 (hunting)","","","2013-04-25",""
047,"KCU TEGAL Jln. AR. Hakim 2 Tegal 0283-356889 (hunting)","","","2013-04-25",""
049,"KCP Maluku Jln. Maluku 10 Denpasar 0361-263441-42","","","2013-04-25",""
051,"KCU BANJARMASIN Jln. Lambung Mangkurat 11-13 Banjarmasin 0511-3350711-15,4366989","","","2013-04-25",""
052,"KCU TANJUNG BALAI Jln. Sisingamangaraja 12-16 Tanjung Balai 0623-92828 (hunting)","","","2013-04-25",""
053,"KCP Bitung Jln. Sam Ratulangi No. 86 Bitung 0432-","","","2013-04-25",""
054,"KCU TASIKMALAYA Jln. HZ Mustofa 300 Tasikmalaya 0265-332005 (hunting)","","","2013-04-25",""
055,"KCU SUBANG Jln. Otto Iskandardinata 37 Subang 0260-411602, 411604, 411605","","","2013-04-25",""
056,"KCU CAKRANEGARA Jln. Pejanggik 67 Mataram 0370-632588 (hunting)","","","2013-04-25",""
