"start_date","end_date","yin_yang","element","heavenly_stem","earthly_branch","zh_animal","en_animal"
"1924-02-05","1925-01-23","yang","wood","甲","子","鼠","rat"
"1925-01-24","1926-02-12","yin","wood","乙","丑","牛","ox"
"1926-02-13","1927-02-01","yang","fire","丙","寅","虎","tiger"
"1927-02-02","1928-01-22","yin","fire","丁","卯","兔","rabbit"
"1928-01-23","1929-02-09","yang","earth","戊","辰","龍","dragon"
"1929-02-10","1930-01-29","yin","earth","己","巳","蛇","snake"
"1930-01-30","1931-02-16","yang","metal","庚","午","馬","horse"
"1931-02-17","1932-02-05","yin","metal","辛","未","羊","goat"
"1932-02-06","1933-01-25","yang","water","壬","申","猴","monkey"
"1933-01-26","1934-02-13","yin","water","癸","酉","雞","rooster"
"1934-02-14","1935-02-03","yang","wood","甲","戌","狗","dog"
"1935-02-04","1936-01-23","yin","wood","乙","亥","猪","pig"
"1936-01-24","1937-02-10","yang","fire","丙","子","鼠","rat"
"1937-02-11","1938-01-30","yin","fire","丁","丑","牛","ox"
"1938-01-31","1939-02-18","yang","earth","戊","寅","虎","tiger"
"1939-02-19","1940-02-07","yin","earth","己","卯","兔","rabbit"
"1940-02-08","1941-01-26","yang","metal","庚","辰","龍","dragon"
"1941-01-27","1942-02-14","yin","metal","辛","巳","蛇","snake"
"1942-02-15","1943-02-04","yang","water","壬","午","馬","horse"
"1943-02-05","1944-01-24","yin","water","癸","未","羊","goat"
"1944-01-25","1945-02-12","yang","wood","甲","申","猴","monkey"
"1945-02-13","1946-02-01","yin","wood","乙","酉","雞","rooster"
"1946-02-02","1947-01-21","yang","fire","丙","戌","狗","dog"
"1947-01-22","1948-02-09","yin","fire","丁","亥","猪","pig"
"1948-02-10","1949-01-28","yang","earth","戊","子","鼠","rat"
"1949-01-29","1950-02-16","yin","earth","己","丑","牛","ox"
"1950-02-17","1951-02-05","yang","metal","庚","寅","虎","tiger"
"1951-02-06","1952-01-26","yin","metal","辛","卯","兔","rabbit"
"1952-01-27","1953-02-13","yang","water","壬","辰","龍","dragon"
"1953-02-14","1954-02-02","yin","water","癸","巳","蛇","snake"
"1954-02-03","1955-01-23","yang","wood","甲","午","馬","horse"
"1955-01-24","1956-02-11","yin","wood","乙","未","羊","goat"
"1956-02-12","1957-01-30","yang","fire","丙","申","猴","monkey"
"1957-01-31","1958-02-17","yin","fire","丁","酉","雞","rooster"
"1958-02-18","1959-02-07","yang","earth","戊","戌","狗","dog"
"1959-02-08","1960-01-27","yin","earth","己","亥","猪","pig"
"1960-01-28","1961-02-14","yang","metal","庚","子","鼠","rat"
"1961-02-15","1962-02-04","yin","metal","辛","丑","牛","ox"
"1962-02-05","1963-01-24","yang","water","壬","寅","虎","tiger"
"1963-01-25","1964-02-12","yin","water","癸","卯","兔","rabbit"
"1964-02-13","1965-02-01","yang","wood","甲","辰","龍","dragon"
"1965-02-02","1966-01-20","yin","wood","乙","巳","蛇","snake"
"1966-01-21","1967-02-08","yang","fire","丙","午","馬","horse"
"1967-02-09","1968-01-29","yin","fire","丁","未","羊","goat"
"1968-01-30","1969-02-16","yang","earth","戊","申","猴","monkey"
"1969-02-17","1970-02-05","yin","earth","己","酉","雞","rooster"
"1970-02-06","1971-01-26","yang","metal","庚","戌","狗","dog"
"1971-01-27","1972-02-14","yin","metal","辛","亥","猪","pig"
"1972-02-15","1973-02-02","yang","water","壬","子","鼠","rat"
"1973-02-03","1974-01-22","yin","water","癸","丑","牛","ox"
"1974-01-23","1975-02-10","yang","wood","甲","寅","虎","tiger"
"1975-02-11","1976-01-30","yin","wood","乙","卯","兔","rabbit"
