Month	L	M	S	P1	P3	P5	P15	P25	P50	P75	P85	P95	P97	P99
24	-0.6187	16.0189	0.07785	13.5	13.9	14.2	14.8	15.2	16.0	16.9	17.4	18.3	18.7	19.4
25	-0.5840	15.9800	0.07792	13.5	13.9	14.1	14.8	15.2	16.0	16.9	17.4	18.3	18.6	19.4
26	-0.5497	15.9414	0.07800	13.4	13.8	14.1	14.7	15.1	15.9	16.8	17.3	18.2	18.6	19.3
27	-0.5166	15.9036	0.07808	13.4	13.8	14.0	14.7	15.1	15.9	16.8	17.3	18.2	18.5	19.2
28	-0.4850	15.8667	0.07818	13.3	13.8	14.0	14.7	15.1	15.9	16.7	17.2	18.1	18.5	19.2
29	-0.4552	15.8306	0.07829	13.3	13.7	14.0	14.6	15.0	15.8	16.7	17.2	18.1	18.4	19.1
30	-0.4274	15.7953	0.07841	13.3	13.7	13.9	14.6	15.0	15.8	16.7	17.2	18.0	18.4	19.1
31	-0.4016	15.7606	0.07854	13.2	13.7	13.9	14.5	15.0	15.8	16.6	17.1	18.0	18.4	19.1
32	-0.3782	15.7267	0.07867	13.2	13.6	13.9	14.5	14.9	15.7	16.6	17.1	18.0	18.3	19.0
33	-0.3572	15.6934	0.07882	13.1	13.6	13.8	14.5	14.9	15.7	16.6	17.0	17.9	18.3	19.0
34	-0.3388	15.6610	0.07897	13.1	13.5	13.8	14.4	14.9	15.7	16.5	17.0	17.9	18.2	18.9
35	-0.3231	15.6294	0.07914	13.1	13.5	13.8	14.4	14.8	15.6	16.5	17.0	17.9	18.2	18.9
36	-0.3101	15.5988	0.07931	13.0	13.5	13.7	14.4	14.8	15.6	16.5	17.0	17.8	18.2	18.9
37	-0.3000	15.5693	0.07950	13.0	13.5	13.7	14.4	14.8	15.6	16.4	16.9	17.8	18.1	18.8
38	-0.2927	15.5410	0.07969	13.0	13.4	13.7	14.3	14.7	15.5	16.4	16.9	17.8	18.1	18.8
39	-0.2884	15.5140	0.07990	12.9	13.4	13.6	14.3	14.7	15.5	16.4	16.9	17.7	18.1	18.8
40	-0.2869	15.4885	0.08012	12.9	13.4	13.6	14.3	14.7	15.5	16.4	16.8	17.7	18.1	18.8
41	-0.2881	15.4645	0.08036	12.9	13.3	13.6	14.2	14.7	15.5	16.3	16.8	17.7	18.0	18.7
42	-0.2919	15.4420	0.08061	12.9	13.3	13.6	14.2	14.6	15.4	16.3	16.8	17.7	18.0	18.7
43	-0.2981	15.4210	0.08087	12.8	13.3	13.5	14.2	14.6	15.4	16.3	16.8	17.7	18.0	18.7
44	-0.3067	15.4013	0.08115	12.8	13.3	13.5	14.2	14.6	15.4	16.3	16.8	17.7	18.0	18.7
45	-0.3174	15.3827	0.08144	12.8	13.2	13.5	14.2	14.6	15.4	16.3	16.8	17.6	18.0	18.7
46	-0.3303	15.3652	0.08174	12.8	13.2	13.5	14.1	14.5	15.4	16.2	16.7	17.6	18.0	18.7
47	-0.3452	15.3485	0.08205	12.8	13.2	13.5	14.1	14.5	15.3	16.2	16.7	17.6	18.0	18.7
48	-0.3622	15.3326	0.08238	12.7	13.2	13.4	14.1	14.5	15.3	16.2	16.7	17.6	18.0	18.7
49	-0.3811	15.3174	0.08272	12.7	13.2	13.4	14.1	14.5	15.3	16.2	16.7	17.6	18.0	18.7
50	-0.4019	15.3029	0.08307	12.7	13.2	13.4	14.1	14.5	15.3	16.2	16.7	17.6	18.0	18.7
51	-0.4245	15.2891	0.08343	12.7	13.1	13.4	14.0	14.5	15.3	16.2	16.7	17.6	18.0	18.7
52	-0.4488	15.2759	0.08380	12.7	13.1	13.4	14.0	14.4	15.3	16.2	16.7	17.6	18.0	18.7
53	-0.4747	15.2633	0.08418	12.7	13.1	13.3	14.0	14.4	15.3	16.2	16.7	17.6	18.0	18.7
54	-0.5019	15.2514	0.08457	12.6	13.1	13.3	14.0	14.4	15.3	16.2	16.7	17.6	18.0	18.8
55	-0.5303	15.2400	0.08496	12.6	13.1	13.3	14.0	14.4	15.2	16.2	16.7	17.6	18.0	18.8
56	-0.5599	15.2291	0.08536	12.6	13.1	13.3	14.0	14.4	15.2	16.1	16.7	17.6	18.0	18.8
57	-0.5905	15.2188	0.08577	12.6	13.0	13.3	14.0	14.4	15.2	16.1	16.7	17.6	18.0	18.8
58	-0.6223	15.2091	0.08617	12.6	13.0	13.3	13.9	14.4	15.2	16.1	16.7	17.6	18.0	18.8
59	-0.6552	15.2000	0.08659	12.6	13.0	13.3	13.9	14.4	15.2	16.1	16.7	17.7	18.1	18.9
60	-0.6892	15.1916	0.08700	12.6	13.0	13.3	13.9	14.3	15.2	16.1	16.7	17.7	18.1	18.9
