Week	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
0	-0.0631	13.3363	0.09272	10.1	11.1	12.2	13.3	14.6	16.1	17.7
1	0.6319	13.2113	0.09887	9.5	10.7	11.9	13.2	14.5	15.9	17.3
2	0.5082	13.4501	0.09741	9.8	11.0	12.2	13.5	14.8	16.2	17.7
3	0.4263	13.9505	0.09647	10.2	11.4	12.6	14.0	15.3	16.8	18.3
4	0.3637	14.4208	0.09577	10.6	11.8	13.1	14.4	15.8	17.4	19.0
5	0.3124	14.8157	0.09520	11.0	12.2	13.5	14.8	16.3	17.8	19.5
6	0.2688	15.1380	0.09472	11.3	12.5	13.8	15.1	16.6	18.2	19.9
7	0.2306	15.4063	0.09431	11.5	12.7	14.0	15.4	16.9	18.5	20.3
8	0.1966	15.6311	0.09394	11.7	12.9	14.2	15.6	17.2	18.8	20.6
9	0.1658	15.8232	0.09361	11.9	13.1	14.4	15.8	17.4	19.0	20.8
10	0.1377	15.9874	0.09332	12.0	13.2	14.6	16.0	17.5	19.2	21.0
11	0.1118	16.1277	0.09304	12.1	13.4	14.7	16.1	17.7	19.4	21.2
12	0.0877	16.2485	0.09279	12.3	13.5	14.8	16.2	17.8	19.5	21.4
13	0.0652	16.3531	0.09255	12.4	13.6	14.9	16.4	17.9	19.7	21.5
