Month	L	M	S	P1	P3	P5	P15	P25	P50	P75	P85	P95	P97	P99
24	-0.5684	15.6881	0.08454	13.0	13.5	13.7	14.4	14.8	15.7	16.6	17.2	18.1	18.5	19.3
25	-0.5684	15.6590	0.08452	13.0	13.4	13.7	14.4	14.8	15.7	16.6	17.1	18.1	18.5	19.3
26	-0.5684	15.6308	0.08449	13.0	13.4	13.7	14.4	14.8	15.6	16.6	17.1	18.1	18.5	19.3
27	-0.5684	15.6037	0.08446	13.0	13.4	13.7	14.3	14.8	15.6	16.5	17.1	18.0	18.4	19.2
28	-0.5684	15.5777	0.08444	12.9	13.4	13.6	14.3	14.7	15.6	16.5	17.0	18.0	18.4	19.2
29	-0.5684	15.5523	0.08443	12.9	13.4	13.6	14.3	14.7	15.6	16.5	17.0	18.0	18.4	19.2
30	-0.5684	15.5276	0.08444	12.9	13.3	13.6	14.3	14.7	15.5	16.5	17.0	17.9	18.3	19.1
31	-0.5684	15.5034	0.08448	12.9	13.3	13.6	14.2	14.7	15.5	16.4	17.0	17.9	18.3	19.1
32	-0.5684	15.4798	0.08455	12.8	13.3	13.5	14.2	14.6	15.5	16.4	16.9	17.9	18.3	19.1
33	-0.5684	15.4572	0.08467	12.8	13.3	13.5	14.2	14.6	15.5	16.4	16.9	17.9	18.3	19.0
34	-0.5684	15.4356	0.08484	12.8	13.2	13.5	14.2	14.6	15.4	16.4	16.9	17.9	18.2	19.0
35	-0.5684	15.4155	0.08506	12.8	13.2	13.5	14.1	14.6	15.4	16.3	16.9	17.8	18.2	19.0
36	-0.5684	15.3968	0.08535	12.8	13.2	13.5	14.1	14.5	15.4	16.3	16.9	17.8	18.2	19.0
37	-0.5684	15.3796	0.08569	12.7	13.2	13.4	14.1	14.5	15.4	16.3	16.8	17.8	18.2	19.0
38	-0.5684	15.3638	0.08609	12.7	13.2	13.4	14.1	14.5	15.4	16.3	16.8	17.8	18.2	19.0
39	-0.5684	15.3493	0.08654	12.7	13.1	13.4	14.1	14.5	15.3	16.3	16.8	17.8	18.2	19.0
40	-0.5684	15.3358	0.08704	12.7	13.1	13.4	14.0	14.5	15.3	16.3	16.8	17.8	18.2	19.0
41	-0.5684	15.3233	0.08757	12.6	13.1	13.3	14.0	14.5	15.3	16.3	16.8	17.8	18.2	19.0
42	-0.5684	15.3116	0.08813	12.6	13.1	13.3	14.0	14.4	15.3	16.3	16.8	17.8	18.2	19.0
43	-0.5684	15.3007	0.08872	12.6	13.0	13.3	14.0	14.4	15.3	16.3	16.8	17.8	18.2	19.1
44	-0.5684	15.2905	0.08931	12.6	13.0	13.3	14.0	14.4	15.3	16.3	16.8	17.8	18.2	19.1
45	-0.5684	15.2814	0.08991	12.5	13.0	13.3	14.0	14.4	15.3	16.3	16.8	17.8	18.3	19.1
46	-0.5684	15.2732	0.09051	12.5	13.0	13.2	13.9	14.4	15.3	16.3	16.8	17.8	18.3	19.1
47	-0.5684	15.2661	0.09110	12.5	13.0	13.2	13.9	14.4	15.3	16.3	16.8	17.9	18.3	19.1
48	-0.5684	15.2602	0.09168	12.5	12.9	13.2	13.9	14.4	15.3	16.3	16.8	17.9	18.3	19.2
49	-0.5684	15.2556	0.09227	12.5	12.9	13.2	13.9	14.4	15.3	16.3	16.8	17.9	18.3	19.2
50	-0.5684	15.2523	0.09286	12.4	12.9	13.2	13.9	14.3	15.3	16.3	16.8	17.9	18.3	19.2
51	-0.5684	15.2503	0.09345	12.4	12.9	13.2	13.9	14.3	15.3	16.3	16.8	17.9	18.4	19.2
52	-0.5684	15.2496	0.09403	12.4	12.9	13.1	13.9	14.3	15.2	16.3	16.9	17.9	18.4	19.3
53	-0.5684	15.2502	0.09460	12.4	12.9	13.1	13.9	14.3	15.3	16.3	16.9	17.9	18.4	19.3
54	-0.5684	15.2519	0.09515	12.4	12.9	13.1	13.9	14.3	15.3	16.3	16.9	18.0	18.4	19.3
55	-0.5684	15.2544	0.09568	12.4	12.9	13.1	13.9	14.3	15.3	16.3	16.9	18.0	18.4	19.4
56	-0.5684	15.2575	0.09618	12.4	12.8	13.1	13.8	14.3	15.3	16.3	16.9	18.0	18.5	19.4
57	-0.5684	15.2612	0.09665	12.4	12.8	13.1	13.8	14.3	15.3	16.3	16.9	18.0	18.5	19.4
58	-0.5684	15.2653	0.09709	12.3	12.8	13.1	13.8	14.3	15.3	16.3	16.9	18.0	18.5	19.4
59	-0.5684	15.2698	0.09750	12.3	12.8	13.1	13.8	14.3	15.3	16.3	16.9	18.1	18.5	19.5
60	-0.5684	15.2747	0.09789	12.3	12.8	13.1	13.8	14.3	15.3	16.3	17.0	18.1	18.6	19.5
