"Bubuk Sayuran (tomat, wortel, sawi, kentang, paprika hijau, bawang putih, seledri)",,NO,NO,NO,NO
"Bubuk Teh Hijau",,NO,NO,NO,NO
"Bubuk Ayam (maltodextrin, garam, bubuk kaldu ayam)",,NO,NO,NO,NO
"Bubuk Buih",,NO,NO,NO,NO
"Bubuk Custard (Susu Bubuk, Gula, Lemak Nabati, Pati Tapioka, Maltodekstrin)",,NO,NO,NO,NO
"Bubuk Ekstrak Pizza ",,NO,NO,NO,NO
"Bubuk Ekstrak Tulang Sapi (Ekstrack tulang sapi, Garam)",,NO,NO,NO,NO
"Bubuk jahe",,NO,NO,NO,NO
"Bubuk kecap (kedelai, garam, tepung)",,NO,NO,NO,NO
"Bubuk Kelapa",,NO,NO,NO,NO
"Bubuk lada putih ",,NO,NO,NO,NO
"Bumbu Rasa Kacang Polong",,NO,NO,NO,NO
"Bumbu Rasa Salmon Teriyaki",,NO,NO,NO,NO
"Cabe Merah ",,NO,NO,NO,NO
CO2,,NO,NO,NO,NO
"Dinatrium 5 Inosinat (disodium 5 Inosinate)",,NO,NO,NO,NO
"Dinatrium 5 ribonukleotida (Disodium 5 ribonucleotides)",,NO,NO,NO,NO
"Ekstrak Cumi-cumi",,NO,NO,NO,NO
"Iodium ( Kalium Iodat- Kio3 )",,NO,NO,NO,NO
"ekstrak vanillin",,NO,NO,NO,NO
"bunga jagung",,NO,NO,NO,NO
"Butiran Coklat",,NO,NO,NO,NO
"Cabe Chilli Hijau ",,NO,NO,NO,NO
"Cabe Hijau ",,NO,NO,NO,NO
"Cabe Jalapeno ",,NO,NO,NO,NO
Dextrosa,,NO,NO,NO,NO
"Kalium Fosfat ",,NO,NO,NO,NO
"Ekstrak Bumbu (bawang bombay,bawang putih, paprika dan annato)",,NO,NO,NO,NO
"Dekstrosa monohidrat",,NO,NO,NO,NO
Karagenan,,NO,NO,NO,NO
"Karamel ",,NO,NO,NO,NO
"Keju Ricotta (susu sapi, susu domba)",,NO,NO,NO,NO
"Konsentrat Jus Apel",,NO,NO,NO,NO
"Kayu Manis Bubuk",,NO,NO,NO,NO
"Keju Bubuk ",,NO,NO,NO,NO
"Konsentrat Buah Apel",,NO,NO,NO,NO
"KARBONDIOKSIDA (CARBONDIOXIDE)",,NO,NO,NO,NO
"Konyaku Bubuk",,NO,NO,NO,NO
"Kopi Putih Bubuk",,NO,NO,NO,NO
"Krim Nabati Bubuk",,NO,NO,NO,NO
Krimer,,NO,NO,NO,NO
"Krimer Nabati",,NO,NO,NO,NO
"Kubis ",,NO,NO,NO,NO
"Lemak Nabati tidak hidrogenasi (Unhydrogenated Vegetable Fat)",,NO,NO,NO,YES
"Mentega ",,NO,NO,NO,NO
"Krispi ",,NO,NO,NO,NO
"Keju ",,NO,NO,NO,NO
"Lada Hitam",,NO,NO,NO,NO
Laktosa,,NO,NO,NO,NO
Maltodekstrin,,NO,NO,NO,NO
