"1,4-a-glukan 6-aglukosiltransferase (1,4-Alpha-glucan 6- Alphaglucosyltransferase) (Bahan Penolong)",No,No,Aktif
2-Fukosilaktosa,No,No,Nonaktif
"3-Fitase (3-Phytase) (Bahan Penolong)",No,No,Aktif
"4-Fitase (4-Phytase) (Bahan Penolong)",No,No,Aktif
"a-amilase (tahan panas) (Alphaamylase (thermostable)) (Bahan Penolong)",No,No,Aktif
"a-amilase dan glukoamilase (Alphaamylase and Glucoamylase) (Bahan Penolong)",No,No,Aktif
"a-Asetolaktat dekarboksilase (Alpha-Acetolactate decarboxylase) (Bahan Penolong)",No,No,Aktif
"a-galaktosidase (Alpha-galactosidase) (Bahan Penolong)",No,No,Aktif
"a-Glukosidase (Alpha-Glucosidase) (Bahan Penolong)",No,No,Aktif
"Abalon (Abalone)",No,No,Aktif
"Abon Ayam (Chicken Floss)",No,No,Aktif
"Abon Babi (Pork Floss)",No,No,Aktif
"ABON CAKALANG (SKIPJACK TUNA FLOSS)",No,No,Aktif
"Abon Sapi  (Beef Floss)",No,No,Aktif
"Abon Sapi Pedas (Hot Beef Floss)",No,No,Aktif
"Acar (Pickles)",No,No,Aktif
"Acar Bawang Putih (Garlic Pickles)",No,No,Aktif
"Acar Cabe (Chili Pickles)",No,No,Aktif
"Acar Jahe (Ginger Pickles)",No,No,Aktif
"Acar Mentimun-Ketimun (Cucumber Pickles)",No,No,Aktif
"ACEROLA (ACEROLA)",No,No,Nonaktif
"ACEROLA (MALPIGHIA GLABRA)- BARBADOS CHERRY-WEST INDIAN CHERRY-CEREZA-CERESIER-SEMERUCO-WILD CRAPEMYRTLE",No,No,Aktif
"ACEROLA BUBUK (ACEROLA POWDER)",No,No,Nonaktif
"ACEROLA EKSTRAK (ACEROLA EXTRACT)",No,No,Nonaktif
"Actinidin (Bahan Penolong)",No,No,Aktif
"ADAS (FENNEL)",No,No,Nonaktif
"ADAS MANIS BUBUK-ANIS POWDER (PIMPINELLA ANISUM)",No,No,Aktif
"Adas Manis-Anis (Pimpinella anisum)",No,No,Aktif
"ADAS PEDAS - ADAS - FENNEL (FOENICULUM VULGARE)",No,No,Aktif
"ADAS PEDAS BUBUK-ADAS BUBUK-FENNEL POWDER (FOENICULUM VULGARE)",No,No,Aktif
"ADAS SOWA-DILL (ANETHUM GRAVEOLENS L.)",No,No,Aktif
"ADENOSIN 5-MONOFOSFAT (ADENOSINE 5-MONOPHOSPHATE)",No,No,Aktif
"Adonan (Dough)",No,No,Aktif
"AGAR-AGAR (AGAR)",No,No,Nonaktif
"AGAR-AGAR BUBUK  (AGAR POWDER)",No,No,Aktif
"Air (Water)",No,No,Aktif
"Air Berkarbonat (Carbonated Water)",No,No,Aktif
"Air Dadih (Whey)",No,No,Aktif
"Air Deionisasi (Deionized Water)",No,No,Aktif
"AIR DEMINERALISASI (DEMINERALIZED WATER)",No,No,Aktif
"Air Es (Cold Water)",No,No,Aktif
"Air Kaldu (Broth)",No,No,Aktif
"AIR KELAPA (COCONUT WATER-COCONUT JUICE)",No,No,Aktif
"Air Mineral (Mineral Water)",No,No,Aktif
"Air Soda (Soda Water)",No,No,Aktif
"Air Suling (Distilled Water)",No,No,Aktif
"Ajwain (Carom seed)",No,No,Aktif
"AKAR BUNGA TERATAI (LOTUS ROOT)",No,No,Nonaktif
"Akar Chicory (Chicory Root)",No,No,Aktif
"Akar Ginseng (Ginseng Root / Panax Ginseng C.A Meyer)",No,No,Aktif
"Akar Ginseng (Ginseng Root / Panax Quinquefolius-American Ginseng)",No,No,Aktif
"Akar Ketumbar (Coriander Root)",No,No,Aktif
"AKAR TERATAI BUBUK -LOTUS ROOT POWDER(NELUMBIUM NELUMBO DRUCE; NELUMBIUM NUCIFERUM) ",No,No,Aktif
"Alanin (Alanine)",No,No,Aktif
"Albumin (Albumine)",No,No,Aktif
"ALFA KAROTEN",No,No,Aktif
"Alfa Laktalbumin (Alpha-Lactalbumin)",No,No,Aktif
"Alfa Tokoferol (Alpha-Tocopherol)",No,No,Aktif
"ALFALFA (ALFALFA)",No,No,Nonaktif
"Alga Merah (Red Algae)",No,No,Aktif
"ALGINAT (ALGINATE)",No,No,Aktif
"Alkohol (Alcohol)",No,No,Aktif
"Allulosa (Allulose) (Hanya untuk produk gula langka/rare sugar)",No,No,Aktif
"Almond Bubuk (Almond Powder)",No,No,Aktif
"Almond Butiran (Almond Granules)",No,No,Aktif
"Almond Panggang (Roasted Almond)",No,No,Aktif
"Alpukat (Avocado)",No,No,Aktif
"Alpukat Bubuk (Avocado Powder)",No,No,Aktif
"Alpukat Pasta (Avocado Paste)",No,No,Aktif
"Amilomaltase (Amylomaltase) (Bahan Penolong)",No,No,Aktif
"Aminopeptidase (Aminopeptidase (Bahan Penolong)",No,No,Aktif
"AMONIAK (AMMONIA)",No,No,Nonaktif
"AMONIAK CAIR (LIQUID AMMONIA)",No,No,Nonaktif
"Ampela (Gizzard)",No,No,Aktif
"ANDALIMAN (ZANTHOXYLUM ACANTHOPODIUM)",No,No,Aktif
"ANDALIMAN BUBUK - ANDALIMAN POWDER (ZANTHOXYLUM ACANTHOPODIUM)",No,No,Aktif
"ANEKA BUAH BERI (MIX BERRIES)",No,No,Aktif
"Anggur (Wine)",No,No,Aktif
"Anggur Beras (Rice Wine)",No,No,Aktif
"Anggur Merah (Red Wine)",No,No,Aktif
"Anggur Putih (White Wine)",No,No,Aktif
"ANGGUR PUTIH BUBUK",No,No,Nonaktif
"Apel Bubuk (Apple Powder)",No,No,Aktif
"Apel Kering (Dried Apple)",No,No,Aktif
"Aprikot (Apricot)",No,No,Aktif
"Aquamin F",No,No,Nonaktif
"Arak Beras (Rice Wine)",No,No,Aktif
"ARAK BERAS KETAN (GLUTINOUS RICE WINE)",No,No,Aktif
"Arak Masak",No,No,Nonaktif
"ARANG AKTIF (ACTIVATED CARBON)",No,No,Nonaktif
"ARGININ (ARGININE)",No,No,Aktif
"Artichoke (Artichoke)",No,No,Aktif
"Arugula (Eruca Sativa)",No,No,Aktif
Asafoetida,No,No,Aktif
"Asam a-linolenat (Alpha Linolenic acid)",No,No,Aktif
"Asam Amino Premiks (Amino Acid Premix)",No,No,Aktif
"ASAM ARAKHIDONAT -ARA-AA (DARI MINYAK LAIN)",No,No,Aktif
"ASAM ARAKHIDONAT-ARA-AA (DARI MINYAK SEL TUNGGAL)",No,No,Aktif
"Asam Arakidonat (Arachidonic Acid/ARA)",No,No,Aktif
"ASAM ASETAT GLASIAL (GLACIAL ACETIC ACID)",No,No,Aktif
"Asam Dokosaheksaenoat (Docosahexaenoic Acid/DHA)",No,No,Aktif
"Asam eikosapentaenoat (EPA)",No,No,Aktif
"Asam Folat (Folic Acid)",No,No,Aktif
"Asam Fosfat (Acid Phosphoric)",No,No,Aktif
"ASAM GELUGUR (GARCINIA ATROVIRIDIS)",No,No,Aktif
"ASAM JAWA BUBUK-TAMARIND POWDER (TAMARINDUS INDICA)",No,No,Aktif
"ASAM JAWA-TAMARIND (TAMARINDUS INDICA)",No,No,Aktif
"ASAM KANDIS (GARCINIA XANTHOCHYMUS)",No,No,Aktif
"Asam Laktat (Lactic acid)",No,No,Aktif
"Asam Laurat/Asam dodekanoat (Lauric acid)",No,No,Aktif
"Asam Linoleat (Linoleic Acid)",No,No,Aktif
"Asam Linoleat Terkonjugasi (Conjugated Linoleic Acid)",No,No,Aktif
"Asam Nukleat (Nucleic Acid)",No,No,Aktif
"Asam Oktanoat (Octanoate Acid)",No,No,Aktif
"ASAM OLEAT (OLEIC ACID)",No,No,Aktif
"Asam Oleat/Asam 9-oktadekenoat (Oleic acid)",No,No,Aktif
"Asam Palmitat (Palmitic Acid)",No,No,Aktif
"Asam Palmitat/Asam heksadekanoat (Palmitic acid)",No,No,Aktif
"Asam Stearat (Stearic Acid)",No,No,Aktif
"Asam Sulfat (Sulfic Acid)",No,No,Aktif
"Asilgliserol lipase (Acylglycerol lipase) (Bahan Penolong)",No,No,Aktif
"ASKORBIL PALMITAT (ASCORBYL PALMITATE)",No,No,Aktif
"Asparaginase (Asparaginase) (Bahan Penolong)",No,No,Aktif
"ASPARAGUS (ASPARAGUS OFFICINALIS)",No,No,Aktif
"Asparagus Laut (Sea Asparagus)",No,No,Aktif
"Asparagus Putih (White Asparagus)",No,No,Aktif
"Aspergillopepsin I (Aspergillopepsin I) (Bahan Penolong)",No,No,Aktif
"ASPERGILLUS ORYZAE",No,No,Aktif
"Astaxanthin (dengan batasan)",No,No,Aktif
ASTRAGALI,No,No,Nonaktif
ASTRAGALUS,No,No,Nonaktif
"Ayam Bubuk (Chicken Powder)",No,No,Aktif
"Ayam Suwir",No,No,Aktif
"a– arabinofuranosidase (Alpha– arabinofuranosidase) (Bahan Penolong)",No,No,Aktif
"a–amilase (Alphaamylase) (Bahan Penolong)",No,No,Aktif
"B-hydroxy-Bmethylbutyrate (HMB)",No,No,Aktif
"Babat Sapi",No,No,Aktif
"Bacillolisin (Bacillolysin) (Bahan Penolong)",No,No,Aktif
"BACILLUS COAGULANS GBI-30 6086 (GANEDEN BC30)",No,No,Aktif
"BACILLUS COAGULANS MTCC 5856",No,No,Aktif
"BAHAN HERBAL LAINNYA",No,No,Nonaktif
"Bahan Perisa (Flavoring Substances)",No,No,Nonaktif
"Bakso Ayam (Chicken Meatball)",No,No,Aktif
"Bakso Ikan (Fish Meatball)",No,No,Aktif
"Bakso Sapi (Beef Meatball)",No,No,Aktif
"BALM (MELISSA OFFICINALIS L)",No,No,Nonaktif
"Barley (Barley)",No,No,Aktif
"BARLEY (KOJI)",No,Yes,Nonaktif
"Barley grass ( Hordeum vulgare L)",No,No,Aktif
"Barley Malt (Barley Malt)",No,No,Aktif
"Barley Panggang (Roasted Barley)",No,No,Aktif
"Barley Serpihan (Barley Flakes)",No,No,Aktif
"BASIL (BASIL)",No,No,Nonaktif
"BASIL BUBUK-BASIL POWDER (OCIMUM BASILICUM)",No,No,Aktif
"Bawang Bombay (Onion)",No,No,Aktif
"Bawang Bombay Bubuk (Onion Powder)",No,No,Aktif
"Bawang Bombay Kering (Dried Onion)",No,No,Aktif
"BAWANG DAUN (CHIVES)",No,No,Nonaktif
"Bawang Hitam (Black Garlic)",No,No,Aktif
"BAWANG MERAH (RED ONION-SHALLOT)",No,No,Aktif
"BAWANG MERAH BUBUK  (RED ONION POWDER - SHALLOT POWDER)",No,No,Aktif
"BAWANG MERAH GORENG  (FRIED RED ONION - FRIED SHALLOT)",No,No,Aktif
"Bawang Putih (Garlic)",No,No,Aktif
"Bawang Putih Bubuk (Garlic Powder)",No,No,Aktif
"BAWANG PUTIH GILING (GRINDED GARLIC)",No,No,Aktif
"Bawang Putih Goreng (Fried Garlic)",No,No,Aktif
"Bawang Putih Kering (Dried Garlic)",No,No,Aktif
"Bawang Putih Serpihan (Garlic Flakes)",No,No,Aktif
"Bayam (Spinach)",No,No,Aktif
"Bayam Bubuk (Spinach Powder)",No,No,Aktif
"BEE POLLEN (KHUSUS MADU)",No,No,Aktif
"Bekatul Beras (Rice Bran)",No,No,Aktif
"BEKICOT (SNAIL)",No,No,Aktif
"BELIMBING WULUH (AVERRHOA BILIMBI)",No,No,Aktif
"Belut (Eel)",No,No,Aktif
"benang sari teratai",No,No,Nonaktif
"Bengkuang - Sengkuang (Yam Bean)",No,No,Aktif
"BERANGAN (MALAYAN CHESTNUT)",No,No,Aktif
"Beras (Rice)",No,No,Aktif
"Beras Butiran (Rice Grains)",No,No,Aktif
"Beras Cokelat (Brown Rice)",No,No,Aktif
"Beras Hitam (Black Rice)",No,No,Aktif
"Beras Instan (Instant Rice)",No,No,Aktif
"BERAS KEPALA",No,No,Aktif
"Beras Ketan (Glutinous Rice)",No,No,Aktif
"Beras Ketan Hitam (Black Glutinous Rice)",No,No,Aktif
"Beras Ketan Putih (White Glutinous Rice)",No,No,Aktif
"Beras Merah (Brown Rice)",No,No,Aktif
"Beras Merah Krispi (Brown Rice Crispy)",No,No,Aktif
"Beras Merah Utuh (Whole Brown Rice)",No,No,Aktif
"Beras Pandan Wangi",No,No,Aktif
"Beras Panggang (Roasted Rice)",No,No,Aktif
"Beras Utuh (Whole Rice)",No,No,Aktif
"BESI FOSFAT (FERROUS PHOSPHATE)",No,No,Aktif
"BESI FUMARAT (FERROUS FUMARATE)",No,No,Aktif
"Besi Glukonat",No,No,Aktif
"BESI LAKTAT (FERROUS LACTATE)",No,No,Aktif
