001,"Susu Pasteurisasi"
002,"Susu UHT"
003,"Susu Steril"
004,"Susu Skim"
005,"Susu Lemak Nabati"
006,"Buttermilk"
007,"Dadih"
008,"Minuman Susu"
009,"Minuman dengan/ mengandung Susu"
010,"Minuman Susu Fermentasi"
011,"Minuman Yoghurt"
012,"Lassi"
013,"Susu Diasamkan"
014,"Susu Fermentasi"
015,"Yogurt"
016,"Susu yang Digumpalkan dengan Enzim Renin"
017,"Susu Evaporasi"
018,"Susu Kental Manis"
019,"Susu Skim Kental Manis"
020,"Krim Kental Manis"
021,"Krimer Kental Manis"
022,"Khoa"
023,"Krimer Minuman (Bukan Susu)"
024,"Krim"
025,"Whipped Cream"
026,"Krim yang digumpalkan"
027,"Krim Nabati (Krim Analog)"
028,"Susu Bubuk Berlemak (Full Cream)"
029,"Susu Skim Bubuk"
030,"Krim Bubuk"
031,"Susu dan Krim Bubuk Analog"
032,"Susu Bubuk Lemak/Minyak Nabati"
033,"Buttermilk Bubuk"
034,"Keju Analog"
035,"Keju Tanpa Pemeraman"
035,"Keju tanpa Pemeraman (Keju Mentah)"
036,"Keju Peram"
037,"Kulit Keju Peram"
038,"Keju Bubuk"
039,"Keju Whey"
040,"Keju Olahan"
041,"Es Krim"
042,"Es Susu / Es Mengandung Susu"
043,"Makanan Pencuci Mulut Berbahan Dasar Susu"
044,"Puding (Berbahan dasar susu atau bahan lainnya)"
045,"Whey"
046,"Whey Bubuk"
047,"Kolostrum"
048,"Bahan untuk Es Krim / Bahan untuk Es Susu"
049,"Bahan untuk Puding (Bubuk)"
050,"Susu Bubuk"
078,"Ghee"
079,"Virgin Oil"
080,"Cold Pressed Oils"
081,"Minyak Goreng (Frying Oil atau frying fat)"
082,"Minyak Masak atau Minyak Sayur (Cooking Oil)"
083,"Minyak Salad"
084,"Minyak serbuk"
085,"Vanaspati atau Minyak Samin (Vegetable Ghee)"
086,"Lemak Reroti (Shortening)"
087,"Pengganti Minyak mentega (Butter Oil Substitute)"
088,"Minyak Kelapa Sawit (Refined Bleached Deodorized Palm Oil/RBDPO)"
089,"Minyak Olein Kelapa Sawit (Refined Bleached Deodorized Palm Olein)"
090,"Minyak Stearin Kelapa Sawit (Refined Bleached Deodorized Palm stearin)"
091,"Minyak Kelapa (Refined Bleached Deodorized Coconut Oil)"
092,"Minyak Kacang Tanah (Refined Bleached Deodorized Peanut Oil/Refined Bleached Deodorized Groundnut Oil)"
093,"Minyak Jagung (Refined Bleached Deodorized Corn Oil)"
094,"Minyak Kemiri (Refined Bleached Deodorized Candlenut/Limbang Oil)"
095,"Minyak Kedelai (Refined Bleached Deodorized Soyabean Oil)"
