id,jenis_usaha,judul,kbli,kementrian,perizinan,sub_kbli,uraian
2,,"PERTANIAN, KEHUTANAN DAN PERIKANAN",A,,,,"Kategori ini mencakup semua kegiatan ekonomi/lapangan usaha, yang meliputi pertanian tanaman pangan, perkebunan, hortikultura, peternakan, pemanenan hasil hutan serta penangkapan dan budidaya ikan/biota air. Kategori ini juga mencakup jasa penunjang masing-masing kegiatan ekonomi tersebut."
3,,"PERTANIAN TANAMAN, PETERNAKAN, PERBURUAN DAN KEGIATAN YBDI",01,,,,"Golongan pokok ini mencakup pertanian tanaman pangan, perkebunan dan hortikultura; usaha pemeliharaan hewan ternak dan unggas; perburuan dan penangkapan hewan dengan perangkap serta kegiatan penunjang ybdi yang ditujukan untuk dijual. Termasuk budidaya tanaman dan hewan ternak secara organik dan genetik. Kegiatan pertanian tidak mencakup kegiatan pengolahan dari komoditas pertanian, termasuk dalam Kategori C (Industri Pengolahan). Kegiatan konstruksi lahan seperti pembuatan petak- petak sawah, irigasi saluran pembuangan air, serta pembersihan dan perbaikan lahan untuk pertanian tidak termasuk di sini, tetapi tercakup pada kategori konstruksi (F)."
4,,"PERTANIAN TANAMAN SEMUSIM",011,,,,"Golongan ini mencakup penanaman tanaman yang tidak berlangsung lebih dari dua musim panen. Termasuk penanaman tanaman dalam berbagai media dan budidaya tanaman secara genetik, dan juga penanaman untuk tujuan pembibitan dan pembenihan."
5,,"PERTANIAN SEREALIA (BUKAN PADI), ANEKA KACANG DAN BIJI-BIJIAN PENGHASIL MINYAK",0111,,,,"Subgolongan ini mencakup pertanian semua serealia, aneka kacang dan biji-bijian penghasil minyak di lahan terbuka, termasuk pertanian tanaman organik dan pertanian tanaman yang telah dimodifikasi. Pertanian tanaman ini sering dikombinasikan dalam unit pertanian.Subgolongan ini mencakup :- Pertanian serealia seperti gandum, jagung, sorgum, gandum untuk membuat bir (barley), gandum hitam (rye), oats, millet dan serealia lainnya- Pertanian aneka kacang palawija, mencakup kacang kedelai, kacang tanah dan kacang hijau- Pertanian aneka kacang hortikultura, mencakup buncis, buncis besar, kacang panjang, cow peas, miju-miju, lupin, kacang polong, pigeon peas dan tanaman aneka kacang lainnya- Pertanian biji-bijian penghasil minyak, seperti biji kapas, biji castor, biji rami, biji mustard, niger seeds, rapeseed/canola, biji wijen, safflower seeds, biji bunga matahari dan tanaman penghasil minyak lainnyaSubgolongan ini tidak mencakup :- Pertanian jagung (maize) untuk makanan ternak, lihat 0119"
6,,"PERTANIAN JAGUNG",01111,,,,"Kelompok ini mencakup usaha pertanian komoditas jagung mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman jagung. Termasuk kegiatan pembibitan dan pembenihan tanaman jagung."
7,,"PERTANIAN GANDUM",01112,,,,"Kelompok ini mencakup usaha pertanian gandum mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman serealia gandum, seperti sorgum/cantel, gandum (wheat/oats), jelai (barley), gandum hitam (rye), jawawut (millet) dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman gandum."
8,,"PERTANIAN KEDELAI",01113,,,,"Kelompok ini mencakup usaha pertanian kedelai mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman kedelai (kacang palawija). Termasuk kegiatan pembibitan dan pembenihan tanaman kedelai."
9,,"PERTANIAN KACANG TANAH",01114,,,,"Kelompok ini mencakup usaha pertanian kacang tanah mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman kacang tanah (kacang palawija). Termasuk kegiatan pembibitan dan pembenihan tanaman kacang tanah."
10,,"PERTANIAN KACANG HIJAU",01115,,,,"Kelompok ini mencakup usaha pertanian kacang hijau mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman kacang hijau (kacang palawija). Termasuk kegiatan pembibitan dan pembenihan tanaman kacang hijau."
11,,"PERTANIAN ANEKA KACANG HORTIKULTURA",01116,,,,"Kelompok ini mencakup usaha pertanian aneka kacang hortikultura mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman aneka kacang hortikultura, seperti buncis, buncis besar, kacang panjang, kacang merah, gude, kara, kapri, kecipir, cow peas, miju-miju, lupin, kacang polong, pigeon peas dan tanaman aneka kacang lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman aneka kacang hortikultura."
