code	name	license	status_name	city
AD	OSO SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Suspend	Jakarta Selatan
AF	HARITA KENCANA SEKURITAS	Perantara Pedagang Efek	Aktif	Jakarta Pusat
AG	KIWOOM SEKURITAS INDONESIA	Perantara Pedagang Efek	Aktif	Jakarta
AH	SHINHAN SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Selatan
AI	UOB KAY HIAN SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
AK	UBS SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	
AN	WANTEG SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
AO	ERDIKHA ELIT SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Pusat
AP	PACIFIC SEKURITAS INDONESIA	Penjamin Emisi Efek	Aktif	Jakarta Selatan
AR	BINAARTHA SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
AT	PHINTRACO SEKURITAS	Perantara Pedagang Efek	Aktif	Jakarta
AZ	SUCOR SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
BB	VERDHANA SEKURITAS INDONESIA	Perantara Pedagang Efek	Aktif	Jakarta
BF	INTI  FIKASA  SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
BK	J.P. MORGAN SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
BQ	KOREA INVESTMENT AND SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
BR	TRUST SEKURITAS	Perantara Pedagang Efek	Aktif	Jakarta
BS	EQUITY SEKURITAS INDONESIA	Manajer Investasi, Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
BZ	BATAVIA PROSPERINDO SEKURITAS	Penjamin Emisi Efek	Aktif	Jakarta
CC	MANDIRI SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
CD	MEGA CAPITAL SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Selatan
CG	CITIGROUP SEKURITAS INDONESIA	Penjamin Emisi Efek	Aktif	Jakarta
CP	VALBURY SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
CS	CREDIT SUISSE SEKURITAS INDONESIA	Penjamin Emisi Efek	Aktif	Jakarta
DD	MAKINDO SEKURITAS	Penjamin Emisi Efek	Aktif	Jakarta
DH	SINARMAS SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta 
DM	MASINDO ARTHA SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
DP	DBS VICKERS SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
DR	RHB SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
DU	KAF SEKURITAS INDONESIA	Perantara Pedagang Efek	Aktif	
DX	BAHANA SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
EL	EVERGREEN SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Pusat
EP	MNC SEKURITAS	Penjamin Emisi Efek	Aktif	Jakarta Pusat
ES	EKOKAPITAL SEKURITAS	Perantara Pedagang Efek	Aktif	Jakarta
FO	FORTE GLOBAL SEKURITAS	Perantara Pedagang Efek	Aktif	Jakarta Barat
FS	YUANTA SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Selatan
FZ	WATERFRONT SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
GA	BNC SEKURITAS INDONESIA	Perantara Pedagang Efek	Aktif	Jakarta Pusat
GI	MAHASTRA ANDALAN SEKURITAS	Perantara Pedagang Efek	Aktif	Jakarta
GR	PANIN SEKURITAS TBK.	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
GW	HSBC SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
HD	KGI SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Selatan
HP	HENAN PUTIHRAI SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Pusat
ID	ANUGERAH SEKURITAS INDONESIA	Perantara Pedagang Efek	Aktif	Jakarta Pusat
IF	SAMUEL SEKURITAS  INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
IH	PACIFIC 2000 SEKURITAS	Perantara Pedagang Efek	Aktif	Jakarta
II	DANATAMA MAKMUR SEKURITAS	Manajer Investasi, Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
IN	INVESTINDO NUSANTARA SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
IP	INDOSURYA BERSINAR SEKURITAS	Manajer Investasi, Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
IT	INTI TELADAN SEKURITAS	Perantara Pedagang Efek	Aktif	Surabaya
IU	INDO CAPITAL SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Pusat
KI	CIPTADANA SEKURITAS ASIA	Penjamin Emisi Efek	Aktif	Jakarta
KK	PHILLIP SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
KS	Kresna Sekuritas	Penjamin Emisi Efek, Perantara Pedagang Efek	Suspend	Jakarta
KZ	CLSA SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
LG	TRIMEGAH SEKURITAS INDONESIA TBK.	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
LH	ROYAL INVESTIUM SEKURITAS 	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Selatan
LS	RELIANCE SEKURITAS INDONESIA TBK.	Penjamin Emisi Efek	Aktif	
MG	SEMESTA INDOVEST SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Barat
MI	VICTORIA SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Selatan
