Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
25-FEB-2022|AALI|EQUITY|1924688333|11350|74692171|14891424|12926998|49700|98000204|35407292|1109639|3757621|4986427|245821476|2319673|9244636|27528798|22316720|1099597|40739124|26853474|1073547|13792548|144968117
25-FEB-2022|ABBA|EQUITY|2900392031|308|35204600|1722655520|0|0|634224063|0|20000243|0|0|2412084426|0|51500|0|23892899|6124685|0|1900|0|0|30070984
25-FEB-2022|ABDA|EQUITY|620806680|6600|21885|47543682|0|98|47921672|0|7500|733484|0|96228321|0|426136555|0|97403500|400|0|0|0|62|523540517
25-FEB-2022|ABMM|EQUITY|2753165000|1755|1777000|1480367233|0|0|351425000|1133800|385800|0|0|1835088833|0|734330867|976460|14667100|414300|11051400|391088|887280|155357672|918076167
25-FEB-2022|ACES|EQUITY|17150000000|1070|300162422|112057400|28397511|0|435797391|288599895|765819|7376800|722600|1173879838|18613700|431667047|1223963921|411723175|906200|2097934745|222399955|917900|1282993519|5691120162
25-FEB-2022|ACST|EQUITY|12675160000|191|0|11199076135|11525238|0|1405941497|29350000|1116|0|0|12645893986|0|150220|0|14400944|5210535|0|4966695|0|4537620|29266014
25-FEB-2022|ADCP|EQUITY|22222222200|107|0|638104100|2949100|0|1353716700|799900|1015200|0|220732300|2217317300|0|0|0|0|4904900|0|0|0|0|4904900
25-FEB-2022|ADES|EQUITY|589896800|3790|0|1091000|58500|350|39515677|31700|411|25000|0|40722638|0|540501713|55200|6981424|116300|0|250000|0|247097|548151734
25-FEB-2022|ADHI|EQUITY|3560849376|760|94248137|78435577|110420984|3000000|1105159781|143442762|24370345|32687451|245000|1592010037|0|10306138|44080098|12787203|3531971|41142643|36569143|0|4365519|152782715
25-FEB-2022|ADMF|EQUITY|1000000000|7875|4366800|1022800|0|920700000|39790900|10357300|46|0|0|976237846|0|394531|328539|13097772|611000|1010966|4154831|28500|4036015|23662154
25-FEB-2022|ADMG|EQUITY|3889179559|195|1030000|994202100|2495200|0|503875387|83|450027|0|0|1502052797|0|1662500|0|3562747|2891900|0|4324796|0|43|12441986
25-FEB-2022|ADMR|EQUITY|40882331500|1250|477126000|703552820|61563200|0|2119936500|641693600|0|2197600|200000|4006269720|0|2269297880|0|139744800|172752300|9660500|19400|0|9336900|2600811780
25-FEB-2022|ADRO|EQUITY|31985962000|2450|1198488919|16683614245|123362700|900000|6357298361|1567638428|98040591|46107400|1007200|26076457844|64628661|965145589|851720245|760099679|188891272|1534183437|341956035|68229700|1134649538|5909504156
25-FEB-2022|AGAR|EQUITY|1000000000|376|0|798877800|0|0|201099800|0|0|0|0|999977600|0|200|0|0|22200|0|0|0|0|22400
25-FEB-2022|AGII|EQUITY|3066660000|1440|6859200|1579069226|75100|0|378979291|65396000|751760|0|0|2031130577|0|700|0|78480940|297800|0|4197800|0|48000000|130977240
25-FEB-2022|AGRO|EQUITY|22746526712|1400|60156582|16692704|935346840|19429762386|1069417731|239012236|1427751|151300|1107971|21753075501|0|22786936|35909016|58316634|1819484|553407882|69368262|0|172699832|914308046
25-FEB-2022|AGRS|EQUITY|17666492048|148|0|224438991|0|20158930|1119801143|0|146|0|0|1364399210|0|595072|0|23539900|4580851|0|4596720|0|6136453340|6169765883
25-FEB-2022|AHAP|EQUITY|2940000000|66|1827142432|199978281|0|0|580065816|0|79115|0|0|2607265644|147816500|0|0|0|180473602|0|103341|0|55|328393498
25-FEB-2022|AIMS|EQUITY|220000000|356|0|180441890|0|0|39377210|0|18000|0|0|219837100|0|0|0|100|2000|0|10800|0|0|12900
25-FEB-2022|AISA|EQUITY|9311800000|191|169620583|6120720103|4189400|0|1666088589|7688900|540425|100000|8796615|7977744615|250000|914915185|2486500|69421467|7793600|41808022|68538955|0|228214156|1333427885
25-FEB-2022|AKKU|EQUITY|6449463636|50|0|4788680000|0|0|1354414436|0|11482900|6700|0|6154584036|0|196254300|0|0|1050200|0|2040100|0|95535000|294879600
25-FEB-2022|AKPI|EQUITY|612248000|1020|4000|145577973|0|2|28421471|17500|2122|0|0|174023068|0|8600|34|1|48403|0|142500|0|10300|209838
25-FEB-2022|AKRA|EQUITY|20073474600|755|336218200|2692599700|102137500|5000000|945207590|795765890|43042495|19367800|2447000|4941786175|34692260|675503525|1089705461|564521395|34971900|1822183540|233567611|51027000|913886633|5420059325
25-FEB-2022|AKSI|EQUITY|720000000|570|0|3783644|0|0|53754556|0|0|0|0|57538200|0|0|0|0|0|0|300|0|0|300
25-FEB-2022|ALDO|EQUITY|1316856020|1105|0|922052966|0|0|392299247|1400300|41|200000|0|1315952554|0|0|0|785966|69500|0|0|0|48000|903466
