release,date,author,status,maturity,version,first,distribution,abstract
JSONSchema-Validator-0.004,2021-08-01T22:43:05,LOGIONIZ,cpan,released,0.004,,JSONSchema-Validator,"Validator for JSON Schema Draft4/Draft6/Draft7 and OpenAPI Specification 3.0"
File-Rename-1.29_04,2021-08-01T22:27:44,RMBARKER,cpan,developer,1.29_04,,File-Rename,"Perl extension for renaming multiple files"
App-Phoebe-4.01_01,2021-08-01T21:06:46,SCHROEDER,cpan,developer,4.01,1,App-Phoebe,"a Gemini-based wiki"
PDL-IO-HDF5-0.74,2021-08-01T20:09:38,ETJ,backpan,released,0.73,,PDL-IO-HDF5,"PDL Interface to the HDF5 Data Format"
App-Brl2Brl-0.02,2021-08-01T19:56:43,LRS,latest,released,0.02,,App-Brl2Brl,"Convert between braille character sets."
Dist-Zilla-6.024,2021-08-01T19:40:38,RJBS,latest,released,6.024,,Dist-Zilla,"distribution builder; installer not included!"
Crypt-Twofish2-1.03,2021-08-01T18:10:47,MLEHMANN,latest,released,1.03,,Crypt-Twofish2,"Crypt::CBC compliant Twofish encryption module"
Lingua-Jspell-1.96,2021-08-01T15:01:12,AMBS,latest,released,1.96,,Lingua-Jspell,"Perl interface to the Jspell morphological analyser."
Data-Table-Text-20210728,2021-08-01T14:53:19,PRBRENAN,cpan,released,20210728,,Data-Table-Text,"Write data in tabular text format"
Encode-RAD50-0.017,2021-08-01T14:25:17,WYANT,latest,released,0.017,,Encode-RAD50,"Convert to and from the Rad50 character set"
App-ansifold-1.0901,2021-08-01T14:08:32,UTASHIRO,cpan,released,1.0901,,App-ansifold,"fold command handling ANSI terminal sequences"
Astro-satpass-0.120_01,2021-08-01T14:07:05,WYANT,backpan,developer,0.120_01,,Astro-satpass,"Classes and app to compute satellite visibility"
RxPerl-v6.7.2,2021-08-01T13:52:17,KARJALA,cpan,released,v6.7.2,,RxPerl,"an implementation of Reactive Extensions / rxjs for Perl"
File-Rename-1.29_03,2021-08-01T13:38:12,RMBARKER,cpan,developer,1.29_03,,File-Rename,"Perl extension for renaming multiple files"
Getopt-EX-Hashed-0.9906,2021-08-01T12:33:18,UTASHIRO,cpan,released,0.9906,,Getopt-EX-Hashed,"Hash store object automation"
Perinci-Access-Perl-0.897,2021-08-01T11:24:47,PERLANCAR,latest,released,0.897,,Perinci-Access-Perl,"Access Perl module, functions, variables through Riap"
File-Rename-1.29_02,2021-08-01T11:09:26,RMBARKER,cpan,developer,1.29_02,,File-Rename,"Perl extension for renaming multiple files"
