Height	L	M	S	P1	P3	P5	P15	P25	P50	P75	P85	P95	P97	P99
65	-0.3521	7.4327	0.08217	6.2	6.4	6.5	6.8	7.0	7.4	7.9	8.1	8.5	8.7	9.1
65.5	-0.3521	7.5504	0.08214	6.3	6.5	6.6	6.9	7.1	7.6	8.0	8.2	8.7	8.9	9.2
66	-0.3521	7.6673	0.08212	6.4	6.6	6.7	7.1	7.3	7.7	8.1	8.4	8.8	9.0	9.3
66.5	-0.3521	7.7834	0.08212	6.5	6.7	6.8	7.2	7.4	7.8	8.2	8.5	8.9	9.1	9.5
67	-0.3521	7.8986	0.08213	6.6	6.8	6.9	7.3	7.5	7.9	8.4	8.6	9.1	9.3	9.6
67.5	-0.3521	8.0132	0.08214	6.7	6.9	7.0	7.4	7.6	8.0	8.5	8.7	9.2	9.4	9.8
68	-0.3521	8.1272	0.08217	6.8	7.0	7.1	7.5	7.7	8.1	8.6	8.9	9.3	9.5	9.9
68.5	-0.3521	8.2410	0.08221	6.8	7.1	7.2	7.6	7.8	8.2	8.7	9.0	9.5	9.7	10.0
69	-0.3521	8.3547	0.08226	6.9	7.2	7.3	7.7	7.9	8.4	8.8	9.1	9.6	9.8	10.2
69.5	-0.3521	8.4680	0.08231	7.0	7.3	7.4	7.8	8.0	8.5	9.0	9.2	9.7	9.9	10.3
70	-0.3521	8.5808	0.08237	7.1	7.4	7.5	7.9	8.1	8.6	9.1	9.4	9.9	10.1	10.5
70.5	-0.3521	8.6927	0.08243	7.2	7.5	7.6	8.0	8.2	8.7	9.2	9.5	10.0	10.2	10.6
71	-0.3521	8.8036	0.08250	7.3	7.6	7.7	8.1	8.3	8.8	9.3	9.6	10.1	10.3	10.7
71.5	-0.3521	8.9135	0.08257	7.4	7.7	7.8	8.2	8.4	8.9	9.4	9.7	10.2	10.5	10.9
72	-0.3521	9.0221	0.08264	7.5	7.8	7.9	8.3	8.5	9.0	9.5	9.8	10.4	10.6	11.0
72.5	-0.3521	9.1292	0.08272	7.6	7.8	8.0	8.4	8.6	9.1	9.7	10.0	10.5	10.7	11.1
73	-0.3521	9.2347	0.08278	7.7	7.9	8.1	8.5	8.7	9.2	9.8	10.1	10.6	10.8	11.3
73.5	-0.3521	9.3390	0.08285	7.8	8.0	8.2	8.6	8.8	9.3	9.9	10.2	10.7	11.0	11.4
74	-0.3521	9.4420	0.08292	7.8	8.1	8.3	8.7	8.9	9.4	10.0	10.3	10.9	11.1	11.5
74.5	-0.3521	9.5438	0.08298	7.9	8.2	8.4	8.8	9.0	9.5	10.1	10.4	11.0	11.2	11.7
75	-0.3521	9.6440	0.08303	8.0	8.3	8.4	8.9	9.1	9.6	10.2	10.5	11.1	11.3	11.8
75.5	-0.3521	9.7425	0.08308	8.1	8.4	8.5	9.0	9.2	9.7	10.3	10.6	11.2	11.4	11.9
76	-0.3521	9.8392	0.08312	8.2	8.5	8.6	9.0	9.3	9.8	10.4	10.7	11.3	11.6	12.0
76.5	-0.3521	9.9341	0.08315	8.2	8.5	8.7	9.1	9.4	9.9	10.5	10.8	11.4	11.7	12.1
77	-0.3521	10.0274	0.08317	8.3	8.6	8.8	9.2	9.5	10.0	10.6	10.9	11.5	11.8	12.3
77.5	-0.3521	10.1194	0.08318	8.4	8.7	8.9	9.3	9.6	10.1	10.7	11.0	11.6	11.9	12.4
78	-0.3521	10.2105	0.08317	8.5	8.8	8.9	9.4	9.7	10.2	10.8	11.1	11.7	12.0	12.5
78.5	-0.3521	10.3012	0.08315	8.5	8.8	9.0	9.5	9.7	10.3	10.9	11.2	11.9	12.1	12.6
79	-0.3521	10.3923	0.08311	8.6	8.9	9.1	9.5	9.8	10.4	11.0	11.3	12.0	12.2	12.7
79.5	-0.3521	10.4845	0.08305	8.7	9.0	9.2	9.6	9.9	10.5	11.1	11.4	12.1	12.3	12.8
80	-0.3521	10.5781	0.08298	8.8	9.1	9.3	9.7	10.0	10.6	11.2	11.5	12.2	12.4	12.9
80.5	-0.3521	10.6737	0.08290	8.9	9.2	9.3	9.8	10.1	10.7	11.3	11.6	12.3	12.5	13.0
81	-0.3521	10.7718	0.08279	8.9	9.3	9.4	9.9	10.2	10.8	11.4	11.8	12.4	12.6	13.1
81.5	-0.3521	10.8728	0.08268	9.0	9.3	9.5	10.0	10.3	10.9	11.5	11.9	12.5	12.8	13.3
82	-0.3521	10.9772	0.08255	9.1	9.4	9.6	10.1	10.4	11.0	11.6	12.0	12.6	12.9	13.4
82.5	-0.3521	11.0851	0.08241	9.2	9.5	9.7	10.2	10.5	11.1	11.7	12.1	12.7	13.0	13.5
83	-0.3521	11.1966	0.08225	9.3	9.6	9.8	10.3	10.6	11.2	11.8	12.2	12.9	13.1	13.6
83.5	-0.3521	11.3114	0.08209	9.4	9.7	9.9	10.4	10.7	11.3	12.0	12.3	13.0	13.3	13.8
84	-0.3521	11.4290	0.08191	9.5	9.8	10.0	10.5	10.8	11.4	12.1	12.5	13.1	13.4	13.9
84.5	-0.3521	11.5490	0.08174	9.6	9.9	10.1	10.6	10.9	11.5	12.2	12.6	13.3	13.5	14.1
85	-0.3521	11.6707	0.08156	9.7	10.1	10.2	10.7	11.1	11.7	12.3	12.7	13.4	13.7	14.2
85.5	-0.3521	11.7937	0.08138	9.8	10.2	10.3	10.9	11.2	11.8	12.5	12.8	13.5	13.8	14.3
86	-0.3521	11.9173	0.08121	9.9	10.3	10.5	11.0	11.3	11.9	12.6	13.0	13.7	13.9	14.5
86.5	-0.3521	12.0411	0.08105	10.0	10.4	10.6	11.1	11.4	12.0	12.7	13.1	13.8	14.1	14.6
87	-0.3521	12.1645	0.08090	10.1	10.5	10.7	11.2	11.5	12.2	12.9	13.2	13.9	14.2	14.8
87.5	-0.3521	12.2871	0.08076	10.2	10.6	10.8	11.3	11.6	12.3	13.0	13.4	14.1	14.4	14.9
88	-0.3521	12.4089	0.08064	10.3	10.7	10.9	11.4	11.8	12.4	13.1	13.5	14.2	14.5	15.1
88.5	-0.3521	12.5298	0.08054	10.5	10.8	11.0	11.5	11.9	12.5	13.2	13.6	14.4	14.6	15.2
89	-0.3521	12.6495	0.08045	10.6	10.9	11.1	11.7	12.0	12.6	13.4	13.8	14.5	14.8	15.4
89.5	-0.3521	12.7683	0.08038	10.7	11.0	11.2	11.8	12.1	12.8	13.5	13.9	14.6	14.9	15.5
90	-0.3521	12.8864	0.08032	10.8	11.1	11.3	11.9	12.2	12.9	13.6	14.0	14.8	15.1	15.6
90.5	-0.3521	13.0038	0.08028	10.9	11.2	11.4	12.0	12.3	13.0	13.7	14.1	14.9	15.2	15.8
91	-0.3521	13.1209	0.08025	11.0	11.3	11.5	12.1	12.4	13.1	13.9	14.3	15.0	15.3	15.9
91.5	-0.3521	13.2376	0.08024	11.0	11.4	11.6	12.2	12.5	13.2	14.0	14.4	15.2	15.5	16.1
92	-0.3521	13.3541	0.08025	11.1	11.5	11.7	12.3	12.7	13.4	14.1	14.5	15.3	15.6	16.2
92.5	-0.3521	13.4705	0.08027	11.2	11.6	11.8	12.4	12.8	13.5	14.2	14.7	15.4	15.7	16.3
93	-0.3521	13.5870	0.08031	11.3	11.7	11.9	12.5	12.9	13.6	14.4	14.8	15.6	15.9	16.5
93.5	-0.3521	13.7041	0.08036	11.4	11.8	12.0	12.6	13.0	13.7	14.5	14.9	15.7	16.0	16.6
94	-0.3521	13.8217	0.08043	11.5	11.9	12.1	12.7	13.1	13.8	14.6	15.0	15.8	16.1	16.8
94.5	-0.3521	13.9403	0.08051	11.6	12.0	12.2	12.8	13.2	13.9	14.7	15.2	16.0	16.3	16.9
