Height	L	M	S	P1	P3	P5	P15	P25	P50	P75	P85	P95	P97	P99
65	-0.3833	7.2402	0.09113	5.9	6.1	6.3	6.6	6.8	7.2	7.7	8.0	8.4	8.6	9.0
65.5	-0.3833	7.3523	0.09109	6.0	6.2	6.4	6.7	6.9	7.4	7.8	8.1	8.6	8.8	9.2
66	-0.3833	7.4630	0.09104	6.1	6.3	6.5	6.8	7.0	7.5	7.9	8.2	8.7	8.9	9.3
66.5	-0.3833	7.5724	0.09099	6.2	6.4	6.5	6.9	7.1	7.6	8.1	8.3	8.8	9.0	9.4
67	-0.3833	7.6806	0.09094	6.3	6.5	6.6	7.0	7.2	7.7	8.2	8.5	9.0	9.2	9.6
67.5	-0.3833	7.7874	0.09088	6.4	6.6	6.7	7.1	7.3	7.8	8.3	8.6	9.1	9.3	9.7
68	-0.3833	7.8930	0.09083	6.4	6.7	6.8	7.2	7.4	7.9	8.4	8.7	9.2	9.4	9.8
68.5	-0.3833	7.9976	0.09077	6.5	6.8	6.9	7.3	7.5	8.0	8.5	8.8	9.3	9.5	10.0
69	-0.3833	8.1012	0.09071	6.6	6.9	7.0	7.4	7.6	8.1	8.6	8.9	9.4	9.7	10.1
69.5	-0.3833	8.2039	0.09065	6.7	7.0	7.1	7.5	7.7	8.2	8.7	9.0	9.6	9.8	10.2
70	-0.3833	8.3058	0.09059	6.8	7.0	7.2	7.6	7.8	8.3	8.8	9.1	9.7	9.9	10.3
70.5	-0.3833	8.4071	0.09053	6.9	7.1	7.3	7.7	7.9	8.4	8.9	9.3	9.8	10.0	10.5
71	-0.3833	8.5078	0.09047	6.9	7.2	7.4	7.8	8.0	8.5	9.0	9.4	9.9	10.1	10.6
71.5	-0.3833	8.6078	0.09041	7.0	7.3	7.4	7.9	8.1	8.6	9.2	9.5	10.0	10.3	10.7
72	-0.3833	8.7070	0.09035	7.1	7.4	7.5	7.9	8.2	8.7	9.3	9.6	10.1	10.4	10.8
72.5	-0.3833	8.8053	0.09028	7.2	7.5	7.6	8.0	8.3	8.8	9.4	9.7	10.3	10.5	11.0
73	-0.3833	8.9025	0.09022	7.3	7.6	7.7	8.1	8.4	8.9	9.5	9.8	10.4	10.6	11.1
73.5	-0.3833	8.9983	0.09016	7.4	7.6	7.8	8.2	8.5	9.0	9.6	9.9	10.5	10.7	11.2
74	-0.3833	9.0928	0.09009	7.4	7.7	7.9	8.3	8.6	9.1	9.7	10.0	10.6	10.8	11.3
74.5	-0.3833	9.1862	0.09003	7.5	7.8	8.0	8.4	8.7	9.2	9.8	10.1	10.7	10.9	11.4
75	-0.3833	9.2786	0.08996	7.6	7.9	8.0	8.5	8.7	9.3	9.9	10.2	10.8	11.1	11.5
75.5	-0.3833	9.3703	0.08989	7.7	8.0	8.1	8.6	8.8	9.4	10.0	10.3	10.9	11.2	11.7
76	-0.3833	9.4617	0.08983	7.7	8.0	8.2	8.6	8.9	9.5	10.1	10.4	11.0	11.3	11.8
76.5	-0.3833	9.5533	0.08976	7.8	8.1	8.3	8.7	9.0	9.6	10.2	10.5	11.1	11.4	11.9
77	-0.3833	9.6456	0.08969	7.9	8.2	8.4	8.8	9.1	9.6	10.3	10.6	11.2	11.5	12.0
77.5	-0.3833	9.7390	0.08963	8.0	8.3	8.4	8.9	9.2	9.7	10.4	10.7	11.3	11.6	12.1
78	-0.3833	9.8338	0.08956	8.0	8.4	8.5	9.0	9.3	9.8	10.5	10.8	11.4	11.7	12.2
78.5	-0.3833	9.9303	0.08950	8.1	8.4	8.6	9.1	9.4	9.9	10.6	10.9	11.6	11.8	12.3
79	-0.3833	10.0289	0.08943	8.2	8.5	8.7	9.2	9.4	10.0	10.7	11.0	11.7	11.9	12.5
79.5	-0.3833	10.1298	0.08937	8.3	8.6	8.8	9.2	9.5	10.1	10.8	11.1	11.8	12.1	12.6
80	-0.3833	10.2332	0.08932	8.4	8.7	8.9	9.3	9.6	10.2	10.9	11.2	11.9	12.2	12.7
80.5	-0.3833	10.3393	0.08926	8.5	8.8	9.0	9.4	9.7	10.3	11.0	11.4	12.0	12.3	12.8
81	-0.3833	10.4477	0.08921	8.6	8.9	9.1	9.5	9.8	10.4	11.1	11.5	12.2	12.4	13.0
81.5	-0.3833	10.5586	0.08916	8.6	9.0	9.2	9.6	9.9	10.6	11.2	11.6	12.3	12.6	13.1
82	-0.3833	10.6719	0.08912	8.7	9.1	9.3	9.7	10.1	10.7	11.3	11.7	12.4	12.7	13.2
82.5	-0.3833	10.7874	0.08908	8.8	9.2	9.4	9.9	10.2	10.8	11.5	11.9	12.5	12.8	13.4
83	-0.3833	10.9051	0.08905	8.9	9.3	9.5	10.0	10.3	10.9	11.6	12.0	12.7	13.0	13.5
83.5	-0.3833	11.0248	0.08902	9.0	9.4	9.6	10.1	10.4	11.0	11.7	12.1	12.8	13.1	13.7
84	-0.3833	11.1462	0.08899	9.1	9.5	9.7	10.2	10.5	11.1	11.8	12.2	13.0	13.3	13.8
84.5	-0.3833	11.2691	0.08897	9.2	9.6	9.8	10.3	10.6	11.3	12.0	12.4	13.1	13.4	14.0
85	-0.3833	11.3934	0.08896	9.3	9.7	9.9	10.4	10.7	11.4	12.1	12.5	13.2	13.5	14.1
85.5	-0.3833	11.5186	0.08895	9.4	9.8	10.0	10.5	10.9	11.5	12.2	12.7	13.4	13.7	14.3
86	-0.3833	11.6444	0.08895	9.5	9.9	10.1	10.6	11.0	11.6	12.4	12.8	13.5	13.8	14.4
86.5	-0.3833	11.7705	0.08895	9.6	10.0	10.2	10.8	11.1	11.8	12.5	12.9	13.7	14.0	14.6
87	-0.3833	11.8965	0.08896	9.7	10.1	10.3	10.9	11.2	11.9	12.6	13.1	13.8	14.1	14.8
87.5	-0.3833	12.0223	0.08897	9.9	10.2	10.4	11.0	11.3	12.0	12.8	13.2	14.0	14.3	14.9
88	-0.3833	12.1478	0.08899	10.0	10.3	10.5	11.1	11.4	12.1	12.9	13.3	14.1	14.4	15.1
88.5	-0.3833	12.2729	0.08901	10.1	10.4	10.6	11.2	11.6	12.3	13.0	13.5	14.3	14.6	15.2
89	-0.3833	12.3976	0.08904	10.2	10.5	10.8	11.3	11.7	12.4	13.2	13.6	14.4	14.7	15.4
89.5	-0.3833	12.5220	0.08907	10.3	10.6	10.9	11.4	11.8	12.5	13.3	13.8	14.6	14.9	15.5
90	-0.3833	12.6461	0.08911	10.4	10.8	11.0	11.5	11.9	12.6	13.4	13.9	14.7	15.0	15.7
90.5	-0.3833	12.7700	0.08915	10.5	10.9	11.1	11.7	12.0	12.8	13.6	14.0	14.9	15.2	15.9
91	-0.3833	12.8939	0.08920	10.6	11.0	11.2	11.8	12.1	12.9	13.7	14.2	15.0	15.3	16.0
91.5	-0.3833	13.0177	0.08925	10.7	11.1	11.3	11.9	12.3	13.0	13.8	14.3	15.1	15.5	16.2
92	-0.3833	13.1415	0.08931	10.8	11.2	11.4	12.0	12.4	13.1	14.0	14.4	15.3	15.6	16.3
92.5	-0.3833	13.2654	0.08937	10.9	11.3	11.5	12.1	12.5	13.3	14.1	14.6	15.4	15.8	16.5
93	-0.3833	13.3896	0.08944	11.0	11.4	11.6	12.2	12.6	13.4	14.2	14.7	15.6	15.9	16.6
93.5	-0.3833	13.5142	0.08951	11.1	11.5	11.7	12.3	12.7	13.5	14.4	14.9	15.7	16.1	16.8
94	-0.3833	13.6393	0.08959	11.2	11.6	11.8	12.4	12.8	13.6	14.5	15.0	15.9	16.2	16.9
94.5	-0.3833	13.7650	0.08967	11.3	11.7	11.9	12.6	13.0	13.8	14.6	15.1	16.0	16.4	17.1
95	-0.3833	13.8914	0.08975	11.4	11.8	12.0	12.7	13.1	13.9	14.8	15.3	16.2	16.5	17.3
95.5	-0.3833	14.0186	0.08984	11.5	11.9	12.1	12.8	13.2	14.0	14.9	15.4	16.3	16.7	17.4
96	-0.3833	14.1466	0.08994	11.6	12.0	12.3	12.9	13.3	14.1	15.0	15.6	16.5	16.9	17.6
96.5	-0.3833	14.2757	0.09004	11.7	12.1	12.4	13.0	13.4	14.3	15.2	15.7	16.6	17.0	17.8
97	-0.3833	14.4059	0.09015	11.8	12.2	12.5	13.1	13.6	14.4	15.3	15.8	16.8	17.2	17.9
97.5	-0.3833	14.5376	0.09026	11.9	12.3	12.6	13.3	13.7	14.5	15.5	16.0	16.9	17.3	18.1
98	-0.3833	14.6710	0.09037	12.0	12.4	12.7	13.4	13.8	14.7	15.6	16.1	17.1	17.5	18.3
98.5	-0.3833	14.8062	0.09049	12.1	12.6	12.8	13.5	13.9	14.8	15.7	16.3	17.3	17.7	18.4
99	-0.3833	14.9434	0.09062	12.2	12.7	12.9	13.6	14.1	14.9	15.9	16.4	17.4	17.8	18.6
99.5	-0.3833	15.0828	0.09075	12.3	12.8	13.0	13.8	14.2	15.1	16.0	16.6	17.6	18.0	18.8
100	-0.3833	15.2246	0.09088	12.4	12.9	13.2	13.9	14.3	15.2	16.2	16.8	17.8	18.2	19.0
100.5	-0.3833	15.3687	0.09102	12.5	13.0	13.3	14.0	14.5	15.4	16.4	16.9	17.9	18.3	19.2
